,Alcohol,Appellation,Category,Points,Price,Review,Url,Variety,Wine,Winery,Appellation1,Appellation2,Appellation3,Appellation4,wine_type,Varietals,Region,Year,Region2,Var
0,14.9,"Russian River Valley, Sonoma, California, US",Red,87,42.0,"Baked plum, licorice and lavender aromas and flavors define this jammy wine, which takes on a sweetness of oak. Thick on the midpalate, it has substantial weight from the tannins and powerfully ripe fruit.",https://www.winemag.com/buying-guide/v-sattui-2015-gilsson-vineyard-old-vine-zinfandel-russian-river-valley/,Zinfandel,V. Sattui 2015 Gilsson Vineyard Old Vine Zinfandel (Russian River Valley),V. Sattui,Russian River Valley, Sonoma, California, US,Gilsson Vineyard Old Vine Zinfandel,Zinfandel,,2015.0,Russian River Valley,Zinfandel
1,14.5,"Central Coast, Central Coast, California, US",Red,87,19.98,Pomegranate and light baking-spice aromas show on the mellow nose of this bottling. The palate is clean with fruit punch and spice-cake flavors wrapped in a fairly mellow texture.,https://www.winemag.com/buying-guide/wente-2014-coastal-selection-pinot-noir-central-coast-303879/,Pinot Noir,Wente 2014 Coastal Selection Pinot Noir (Central Coast),Wente,Central Coast, Central Coast, California, US,Coastal Selection Pinot Noir,Pinot Noir,,2014.0,Central Coast,Pinot Noir
2,13.8,California Republic,Red,86,15.0,"Butter and vanilla notes dominate the jammy fruit flavors in this rich and seemingly sweet wine. It is medium bodied, lightly tannic and heavily influenced by oaky aromas and flavors, including baking spices and maple syrup.",https://www.winemag.com/buying-guide/california-republic-2016-cabernet-sauvignon-california/,California,California Republic 2016 Cabernet Sauvignon (California),California Republic,California Republic,,,,Cabernet Sauvignon,,California,2016.0,California,Cabernet Sauvignon
3,13.8,"Lodi, Central Valley, California, US",Red,86,10.0,An aroma like toasted almonds and wood smoke meets spiced plum and red-cherry flavors in this medium-bodied wine. It's an oaky version that maintains pretty good balance.,https://www.winemag.com/buying-guide/collier-creek-2015-red-wagon-pinot-noir-lodi/,Pinot Noir,Collier Creek 2015 Red Wagon Pinot Noir (Lodi),Collier Creek,Lodi, Central Valley, California, US,Red Wagon Pinot Noir,Pinot Noir,,2015.0,Lodi,Pinot Noir
4,13.0,"New Jersey, US",Red,86,27.0,"Plum skin and pomegranate lead the nose while white pepper and raw oak take on an earthy edge. The soft-bodied palate is awash in silky tannins, with intense flavors of vanilla, oak and green tobacco leaf over black cherry and plum. There is a spicy kick on the finish, with more vanilla and baked black plum.",https://www.winemag.com/buying-guide/diluca-2016-rosso-black-label-red/,Red Blend,DiLuca 2016 Rosso Black Label Red,DiLuca,New Jersey, US,,,Rosso Black Label,Red Blend,,2016.0,,Red Blend
5,14.7,"Green Valley, Sonoma, California, US",Red,86,65.0,This is a big ripe red wine moderate in structure that offers fleshy mouthfuls of cola and black cherry.,https://www.winemag.com/buying-guide/dutton-estate-2016-thomas-road-pinot-noir-green-valley/,Pinot Noir,Dutton Estate 2016 Thomas Road Pinot Noir (Green Valley),Dutton Estate,Green Valley, Sonoma, California, US,Thomas Road Pinot Noir,Pinot Noir,,2016.0,Green Valley,Pinot Noir
6,13.8,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,86,30.0,"This wine is a blend of 48% Cabernet Sauvignon and 38% Merlot, with the balance Malbec and Petit Verdot. Aromas of mushroom, dried herb, wet gravel, spice and cherry lead to ripe cherry and soy flavors. The palate brings a sense of elegance and appeal.",https://www.winemag.com/buying-guide/gordon-estate-2014-estate-grown-traditions-red-columbia-valley-wa-304181/,Bordeaux-style Red Blend,Gordon Estate 2014 Estate Grown Traditions Red (Columbia Valley (WA)),Gordon Estate,Columbia Valley (WA), Columbia Valley, Washington, US,Estate Grown Traditions Red,Red Blend,,2014.0,Washington,Red Blend
7,13.5,K Squared Cellars,White,86,24.0,"Honey-dipped pineapple and guava, with a touch of fig give this wine a fruity midpalate. This has a moderate structure and a lingering note of anise.",https://www.winemag.com/buying-guide/k-squared-cellars-2017-sauvignon-blanc-sonoma-county/,Sonoma County,K Squared Cellars 2017 Sauvignon Blanc (Sonoma County),K Squared Cellars,K Squared Cellars,,,,Sauvignon Blanc,,Sonoma County,2017.0,,Sauvignon Blanc
8,14.5,"Sonoma Valley, Sonoma, California, US",White,86,30.0,"Thick and oaky, this estate wine evokes caramel and pineapple-upside-down cake—its texture lushly unctuous and rich.",https://www.winemag.com/buying-guide/kunde-2016-c-s-ridge-estate-grown-chardonnay-sonoma-valley/,Chardonnay,Kunde 2016 C.S. Ridge Estate Grown Chardonnay (Sonoma Valley),Kunde,Sonoma Valley, Sonoma, California, US,,Chardonnay,,2016.0,Sonoma Valley,Chardonnay
9,14.2,"Russian River Valley, Sonoma, California, US",Red,86,45.0,"With an ashy undercurrent of char and smoke, this wine offers medium-bodied layers of dried cherry and leather, finishing with a lasting note of black pepper.",https://www.winemag.com/buying-guide/mengler-family-wines-2016-alegria-vineyards-sangiovese-russian-river-valley-303574/,Sangiovese,Mengler Family Wines 2016 Alegria Vineyards Sangiovese (Russian River Valley),Mengler Family Wines,Russian River Valley, Sonoma, California, US,Alegria Vineyards Sangiovese,Sangiovese,,2016.0,Russian River Valley,Sangiovese
10,14.7,Bravante,Red,86,75.0,"Dusty with highlights of cedar and sage, this full-bodied wine presents as somewhat dull on the palate—a soft, rounded and approachable expression of jammy blueberry.",https://www.winemag.com/buying-guide/bravante-2013-cabernet-franc-howell-mountain-303364/,Howell Mountain,Bravante 2013 Cabernet Franc (Howell Mountain),Bravante,Bravante,,,,Cabernet Franc,,Howell Mountain,2013.0,,Cabernet Franc
11,13.5,Esser,White,86,14.0,Yellow apple and sweet oak aromas make for a pleasant if not particularly complex aromatic entry to this bottling. Ripe apple and pear meet with sweet buttercream on the palate.,https://www.winemag.com/buying-guide/esser-2016-chardonnay-monterey-county-303009/,Monterey County,Esser 2016 Chardonnay (Monterey County),Esser,Esser,,,,Chardonnay,,Monterey County,2016.0,,Chardonnay
12,14.7,"Stags Leap District, Napa, California, US",Red,86,22.0,"This is a full-bodied, boldly ripe Cabernet Sauvignon. Soft layers of dark cherry and plum are well integrated and contrasted against dusty crushed rock and toasted oak.",https://www.winemag.com/buying-guide/kirkland-signature-2015-signature-series-cabernet-sauvignon-stags-leap-district/,Cabernet Sauvignon,Kirkland Signature 2015 Signature Series Cabernet Sauvignon (Stags Leap District),Kirkland Signature,Stags Leap District, Napa, California, US,Signature Series Cabernet Sauvignon,Cabernet Sauvignon,,2015.0,California,Cabernet Sauvignon
14,13.5,"Texas, Texas, US",Red,86,25.0,"Aromas of ripe blueberry and blackberry mingle with vanilla and pumpkin spice on the nose. The fruit forward palate shows plum and cranberry backed by dried leaves, nutmeg and vanilla. The tannins are dusty yet structured, while the acidity is tied to the berry flavors and weaves in and out. It finishes with a tart berry flavor loaded with cracked pepper and earthy.",https://www.winemag.com/buying-guide/messina-hof-2015-private-reserve-double-barrel-merlot-texas/,Merlot,Messina Hof 2015 Private Reserve Double Barrel Merlot (Texas),Messina Hof,Texas, Texas, US,,Private Reserve Double Barrel Merlot,Merlot,,2015.0,Texas,Merlot
